State/UTs,Total Cases,Active,Discharged,Deaths,day1,day2,day3,day4,day5,day6,day7
Andaman and Nicobar,7560,10,7421,129,0,0,0,0,0,0,0
Andhra Pradesh,2004590,13677,1977163,13750,135,122,111,256,4265,12,123
Arunachal Pradesh,52409,1127,51023,259,92,45,23,56,85,87,75
Assam,585689,8005,572084,5600,389,735,401,111,737,220,480
Bihar,725605,102,715853,9650,5,1,9,1,1,2,7
Chandigarh,65069,35,64222,812,0,0,2,2,1,3,2
Chhattisgarh,1004230,653,990022,13555,41,48,60,55,50,12,1
Dadra and Nagar Haveli and Daman and Diu,10659,4,10651,4,0,0,0,0,0,0,0
Delhi,1437485,411,1411995,25079,12,25,46,7,88,11,2
Goa,173357,932,169239,3186,23,68,24,48,52,38,82
Gujarat,825330,160,815091,10079,6,10,7,12,4,2,10
Haryana,770380,664,760047,9669,31,31,55,63,28,26,25
Himachal Pradesh,212260,2054,206628,3578,204,130,22,205,112,84,158
Jammu and Kashmir,324420,1055,318961,4404,65,78,36,104,39,103,77
Jharkhand,347755,153,342470,5132,7,12,2,8,8,14,13
Karnataka,2941026,19810,2884032,37184,1864,1026,1690,896,352,1534,408
Kerala,3851984,159870,3672357,19757,14207,2095,15551,5056,3527,7632,6668
Ladakh,20500,55,20238,207,1,1,2,4,4,2,4
Lakshadweep,10318,28,10239,51,1,2,1,0,2,1,0
Madhya Pradesh,792109,84,781509,10516,3,3,5,7,6,0,0
Maharashtra,6432649,53260,6243034,136355,2752,2331,1548,693,3448,3583,4889
Manipur,111598,3610,106229,1759,192,308,239,357,302,154,87
Meghalaya,74232,2820,70127,1285,81,222,83,101,98,114,175
Mizoram,54057,6664,47192,201,131,426,218,471,529,366,615
Nagaland,29669,888,28170,611,87,15,27,12,32,30,19
Odisha,1002323,7461,987369,7493,566,455,386,646,120,513,258
Puducherry,123007,765,120433,1809,31,19,7,7,37,54,57
Punjab,600342,423,583564,16355,31,16,42,9,33,20,36
Rajasthan,954040,128,944958,8954,5,11,11,8,5,1,12
Sikkim,29477,1548,27562,367,149,67,63,118,83,92,17
Tamil Nadu,2604074,18603,2550710,34761,289,1000,1692,773,1643,1091,1729
Telengana,655732,6276,645594,3862,104,572,121,112,271,411,516
Tripura,82384,1113,80480,791,68,77,100,17,48,109,24
Uttar Pradesh,1709152,352,1686006,22794,6,29,31,5,15,25,20
Uttarakhand,342786,310,335099,7377,10,8,25,10,19,20,9
West Bengal,1544109,9217,1516509,18383,609,446,612,820,306,535,785
