tconst	ordering	nconst	category	job	characters
tt0166487	2	nm0657471	actress	\N	"[""Dolors""]"

tt0166496	5	nm0749142	director	\N	\N

tt0166924	3	nm0857620	actor	\N	"[""Adam""]"

tt0167245	2	nm0312064	actress	\N	"[""Mother""]"

tt0167255	4	nm0769810	actress	\N	"[""Emily the Ghost Child""]"

tt0167273	2	nm0834885	director	\N	\N

tt0167360	1	nm0513281	actor	\N	"[""Wilhelm 'Billy' von Huber""]"

tt0167360	4	nm0001272	actress	\N	"[""Dr. Donni McGuinness""]"

tt0167456	4	nm1227232	actor	\N	"[""Alan Tracy""]"

tt0168120	1	nm0193631	actress	\N	"[""Elizabeth""]"

tt0168123	1	nm0375799	actor	\N	"[""Patu""]"

tt0168123	2	nm0439239	actress	\N	"[""Noora""]"

tt0168123	3	nm0354640	actor	\N	"[""Lajunen""]"

tt0168123	4	nm0383154	actor	\N	"[""Jimi""]"

tt0168123	9	nm0492065	actor	\N	"[""Kukkonen""]"

tt0168449	1	nm0004978	actor	\N	"[""Sebastian Cole""]"

tt0168449	3	nm0657760	actress	\N	"[""Mary""]"

tt0168740	2	nm0347069	actress	\N	"[""Cécilia""]"

tt0168746	1	nm0510514	actor	\N	\N

tt0168746	3	nm1054208	actress	\N	\N

