tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt2112206	movie	Monica Z	Monica Z	0	2013	\N	111	Biography,Drama,Music

tt0349594	movie	Dog Heads	Hundsköpfe	0	2002	\N	93	Drama

tt0390538	movie	Tarnation	Tarnation	0	2003	\N	88	Biography,Documentary

tt4337690	movie	90 Minutes in Heaven	90 Minutes in Heaven	0	2015	\N	121	Drama

tt9534498	movie	Mexeu com uma, mexeu com todas	Mexeu com uma, mexeu com todas	0	2017	\N	71	Documentary

tt0393875	movie	The Third Wish	The Third Wish	0	2005	\N	93	Comedy,Romance

tt0963977	movie	Glass Lips	Blood of a Poet	0	2007	\N	100	Drama

tt6373314	movie	Agape	Agape	0	2017	\N	75	Drama

tt0398807	movie	The Brewster Project	The Brewster Project	0	2004	\N	100	Drama

tt0177780	movie	Flat Is Beautiful	Flat Is Beautiful	0	1998	\N	50	\N

